Date,.SSEC,.VHSI,.SSE180VWI,.CSI000952,.CSI300FS
12/27/1993,839.9,,,,
12/28/1993,839.57,,,,
12/29/1993,821.16,,,,
12/30/1993,826.23,,,,
12/31/1993,833.8,,,,
1/3/1994,833.9,,,,
1/4/1994,832.69,,,,
1/5/1994,846.98,,,,
1/6/1994,869.33,,,,
1/7/1994,879.64,,,,
1/10/1994,900.3,,,,
1/11/1994,891.79,,,,
1/12/1994,888.04,,,,
1/13/1994,897.46,,,,
1/14/1994,849.23,,,,
1/17/1994,859.28,,,,
1/18/1994,835.06,,,,
1/19/1994,807.5,,,,
1/20/1994,802.61,,,,
1/21/1994,812.88,,,,
1/24/1994,839.2,,,,
1/25/1994,815.89,,,,
1/26/1994,812.41,,,,
1/27/1994,818.6,,,,
1/28/1994,799.26,,,,
1/31/1994,770.25,,,,
2/1/1994,755.15,,,,
2/2/1994,772.2,,,,
2/3/1994,780.17,,,,
2/4/1994,797.88,,,,
2/14/1994,779.91,,,,
2/15/1994,772.76,,,,
2/16/1994,776.1,,,,
2/17/1994,768.59,,,,
2/18/1994,769.18,,,,
2/21/1994,754.41,,,,
2/22/1994,768.21,,,,
2/23/1994,759.73,,,,
2/24/1994,758.84,,,,
2/25/1994,787.45,,,,
2/28/1994,770.98,,,,
3/1/1994,757.3,,,,
3/2/1994,742.06,,,,
3/3/1994,734.45,,,,
3/4/1994,726.3,,,,
3/7/1994,718.4,,,,
3/8/1994,711.27,,,,
3/9/1994,716.11,,,,
3/10/1994,698.8,,,,
3/11/1994,717.36,,,,
3/14/1994,788.43,,,,
3/15/1994,772.76,,,,
3/17/1994,776.94,,,,
3/18/1994,765.55,,,,
3/21/1994,731.62,,,,
3/23/1994,725.21,,,,
3/24/1994,724.28,,,,
3/25/1994,719.06,,,,
3/28/1994,702.23,,,,
3/29/1994,706.91,,,,
3/30/1994,706.34,,,,
3/31/1994,704.46,,,,
4/1/1994,698.84,,,,
4/4/1994,694.38,,,,
4/5/1994,682.7,,,,
4/6/1994,679.74,,,,
4/7/1994,677.31,,,,
4/8/1994,678.86,,,,
4/11/1994,659.05,,,,
4/12/1994,665.61,,,,
4/13/1994,656.78,,,,
4/14/1994,636.08,,,,
4/15/1994,626.79,,,,
4/18/1994,604.15,,,,
4/19/1994,572.73,,,,
4/20/1994,540.24,,,,
4/21/1994,582.43,,,,
4/22/1994,566.07,,,,
4/25/1994,560.8,,,,
4/26/1994,579.72,,,,
4/27/1994,598.5,,,,
4/28/1994,599.63,,,,
4/29/1994,592.56,,,,
5/3/1994,605.77,,,,
5/4/1994,619.68,,,,
5/5/1994,590.92,,,,
5/6/1994,585.8,,,,
5/9/1994,581.7,,,,
5/10/1994,595.38,,,,
5/11/1994,591.18,,,,
5/12/1994,582.16,,,,
5/13/1994,590.39,,,,
5/16/1994,592.58,,,,
5/17/1994,592.05,,,,
5/18/1994,583.32,,,,
5/19/1994,590.53,,,,
5/20/1994,594.22,,,,
5/23/1994,587.65,,,,
5/24/1994,590.45,,,,
5/25/1994,586.76,,,,
5/26/1994,577.45,,,,
5/27/1994,573.36,,,,
5/30/1994,544.26,,,,
5/31/1994,556.26,,,,
6/1/1994,545.05,,,,
6/2/1994,546.58,,,,
6/3/1994,548.75,,,,
6/6/1994,542.96,,,,
6/7/1994,529.76,,,,
6/8/1994,533.55,,,,
6/9/1994,523,,,,
6/10/1994,514.54,,,,
6/13/1994,492.03,,,,
6/14/1994,490.75,,,,
6/15/1994,496.11,,,,
6/16/1994,506.36,,,,
6/17/1994,527.85,,,,
6/20/1994,502.43,,,,
6/21/1994,498.1,,,,
6/22/1994,505.18,,,,
6/23/1994,500.39,,,,
6/24/1994,492.33,,,,
6/27/1994,472.1,,,,
6/28/1994,469.95,,,,
6/29/1994,468.2,,,,
6/30/1994,469.29,,,,
7/1/1994,458.37,,,,
7/4/1994,438.58,,,,
7/5/1994,443.61,,,,
7/6/1994,431.71,,,,
7/7/1994,425.98,,,,
7/8/1994,437.76,,,,
7/11/1994,428.15,,,,
7/12/1994,429.21,,,,
7/13/1994,437.62,,,,
7/14/1994,431.8,,,,
7/15/1994,413.93,,,,
7/18/1994,398.96,,,,
7/19/1994,400.48,,,,
7/20/1994,393.87,,,,
7/21/1994,380.9,,,,
7/22/1994,363.73,,,,
7/25/1994,375.38,,,,
7/26/1994,388.75,,,,
7/27/1994,371.19,,,,
7/28/1994,339.81,,,,
7/29/1994,333.92,,,,
8/1/1994,445.64,,,,
8/2/1994,432.61,,,,
8/3/1994,522.98,,,,
8/4/1994,562.77,,,,
8/5/1994,683.04,,,,
8/8/1994,711.8,,,,
8/9/1994,621.5,,,,
8/10/1994,739.56,,,,
